iteration,K
100955,5
100956,5
100957,5
100958,5
100959,5
100960,5
100961,6
100962,6
100963,4
100964,4
100965,4
100966,6
100967,4
100968,4
100969,4
100970,4
100971,4
100972,6
100973,4
100974,4
100975,4
100976,4
100977,4
100978,6
100979,5
100980,5
100981,6
100982,4
100983,4
100984,5
100985,4
100986,5
100987,5
100988,5
100989,6
100990,5
100991,5
100992,5
100993,5
100994,5
100995,5
100996,6
100997,6
100998,6
100999,8
101000,7
101001,6
101002,8
101003,5
101004,5
101005,7
101006,5
101007,5
101008,4
101009,4
101010,4
101011,4
101012,4
101013,5
101014,4
101015,4
101016,4
101017,4
101018,4
101019,4
101020,5
101021,6
101022,6
101023,6
101024,9
101025,6
101026,7
101027,6
101028,8
101029,5
101030,5
101031,5
101032,5
101033,6
101034,6
101035,5
101036,5
101037,5
101038,5
101039,6
101040,6
101041,5
101042,5
101043,4
101044,4
101045,4
101046,5
101047,4
101048,4
101049,4
101050,6
101051,6
101052,5
101053,8
101054,8
101055,7
101056,7
101057,7
101058,7
101059,11
101060,7
101061,6
101062,7
101063,6
101064,6
101065,6
101066,6
101067,5
101068,5
101069,6
101070,5
101071,5
101072,5
101073,6
101074,7
101075,6
101076,7
101077,7
101078,8
101079,11
101080,8
101081,8
101082,9
101083,9
101084,7
101085,7
101086,8
101087,7
101088,8
101089,7
101090,8
101091,9
101092,9
101093,12
101094,7
101095,7
101096,7
101097,8
101098,7
101099,7
101100,7
101101,6
101102,6
101103,6
101104,6
101105,6
101106,6
101107,7
101108,6
101109,6
101110,8
101111,8
101112,8
101113,7
101114,7
101115,7
101116,7
101117,7
101118,7
101119,6
101120,6
101121,6
101122,7
101123,6
101124,6
101125,7
101126,6
101127,6
101128,6
101129,6
101130,6
101131,7
101132,8
101133,8
101134,6
101135,7
101136,6
101137,6
101138,6
101139,5
101140,6
101141,5
101142,5
101143,5
101144,5
101145,5
101146,5
101147,5
101148,5
101149,7
101150,6
101151,5
101152,6
101153,8
101154,5
101155,5
101156,7
101157,8
101158,8
101159,8
101160,10
101161,8
101162,10
101163,10
101164,11
101165,8
101166,8
101167,7
101168,8
101169,6
101170,7
101171,8
101172,7
101173,6
101174,7
101175,7
101176,8
101177,7
101178,6
101179,7
101180,6
101181,7
101182,10
101183,8
101184,7
101185,8
101186,7
101187,9
101188,8
101189,8
101190,9
101191,9
101192,8
101193,7
101194,7
101195,7
101196,7
101197,8
101198,7
101199,7
101200,8
101201,7
101202,8
101203,8
101204,7
101205,8
101206,9
101207,8
101208,6
101209,6
101210,6
101211,6
101212,6
101213,7
101214,7
101215,6
101216,6
101217,6
101218,6
101219,5
101220,8
101221,9
101222,6
101223,5
101224,5
101225,5
101226,6
101227,9
101228,6
101229,5
101230,5
101231,5
101232,5
101233,7
101234,6
101235,7
101236,8
101237,8
101238,8
101239,8
101240,7
101241,7
101242,7
101243,7
101244,7
101245,8
101246,9
101247,9
101248,8
101249,8
101250,9
101251,10
101252,12
101253,12
101254,10
101255,12
101256,11
101257,10
101258,10
101259,11
101260,10
101261,12
101262,11
101263,10
101264,11
101265,11
101266,10
101267,9
101268,8
101269,8
101270,8
101271,10
101272,11
101273,10
101274,9
101275,8
101276,10
101277,8
101278,7
101279,7
101280,10
101281,7
101282,6
101283,8
101284,7
101285,7
101286,6
101287,6
101288,7
101289,8
101290,7
101291,7
101292,8
101293,8
101294,8
101295,9
101296,8
101297,9
101298,10
101299,5
101300,5
101301,6
101302,5
101303,5
101304,4
101305,4
101306,4
101307,4
101308,5
101309,5
101310,5
101311,5
101312,4
101313,4
101314,6
101315,4
101316,5
101317,4
101318,6
101319,5
101320,5
101321,6
101322,6
101323,5
101324,5
101325,9
101326,7
101327,6
101328,7
101329,7
101330,9
101331,6
101332,7
101333,6
101334,5
101335,6
101336,6
101337,6
101338,5
101339,5
101340,5
101341,5
101342,4
101343,4
101344,4
101345,3
101346,4
101347,3
101348,3
101349,3
101350,3
101351,3
101352,3
101353,3
101354,3
101355,3
101356,3
101357,4
101358,4
101359,6
101360,4
101361,3
101362,3
101363,3
101364,3
101365,3
101366,3
101367,3
101368,3
101369,3
101370,3
101371,3
101372,3
101373,3
101374,3
101375,3
101376,3
101377,3
101378,3
101379,3
101380,3
101381,3
101382,3
101383,3
101384,5
101385,3
101386,5
101387,3
101388,3
101389,3
101390,3
101391,3
101392,4
101393,3
101394,3
101395,4
101396,4
101397,6
101398,5
101399,4
101400,4
101401,4
101402,4
101403,4
101404,4
101405,6
101406,4
101407,4
101408,4
101409,4
101410,4
101411,4
101412,4
101413,5
101414,4
101415,4
101416,4
101417,4
101418,5
101419,4
101420,5
101421,4
101422,4
101423,4
101424,4
101425,5
101426,4
101427,4
101428,5
101429,4
101430,5
101431,4
101432,7
101433,7
101434,6
101435,5
101436,5
101437,5
101438,5
101439,5
101440,6
101441,6
101442,8
101443,8
101444,9
101445,9
101446,9
101447,10
101448,9
101449,8
101450,7
101451,6
101452,7
101453,6
101454,7
101455,6
101456,8
101457,7
101458,6
101459,6
101460,6
101461,6
101462,7
101463,7
101464,7
101465,7
101466,10
101467,8
101468,9
101469,13
101470,10
101471,10
101472,9
101473,10
101474,9
101475,7
101476,10
101477,7
101478,8
101479,11
101480,10
101481,13
101482,11
101483,11
101484,10
101485,11
101486,9
101487,11
101488,8
101489,8
101490,8
101491,8
101492,8
101493,9
101494,10
101495,10
101496,9
101497,11
101498,12
101499,8
101500,8
101501,9
101502,9
101503,8
101504,9
101505,9
101506,8
101507,9
101508,10
101509,9
101510,14
101511,9
101512,10
101513,11
101514,9
101515,9
101516,10
101517,9
101518,11
101519,9
101520,11
101521,10
101522,9
101523,9
101524,8
101525,7
101526,7
101527,7
101528,5
101529,5
101530,5
101531,4
101532,4
101533,4
101534,4
101535,4
101536,4
101537,4
101538,6
101539,4
101540,4
101541,4
101542,4
101543,5
101544,4
101545,4
101546,5
101547,4
101548,4
101549,4
101550,4
101551,4
101552,4
101553,4
101554,4
101555,4
101556,4
101557,4
101558,4
101559,4
101560,6
101561,4
101562,5
101563,4
101564,6
101565,8
101566,6
101567,6
101568,7
101569,6
101570,6
101571,5
101572,5
101573,5
101574,6
101575,6
101576,4
101577,4
101578,4
101579,4
101580,4
101581,4
101582,4
101583,4
101584,5
101585,5
101586,4
101587,4
101588,4
101589,4
101590,4
101591,4
101592,4
101593,5
101594,4
101595,4
101596,4
101597,4
101598,4
101599,4
101600,4
101601,4
101602,4
101603,4
101604,4
101605,4
101606,4
101607,4
101608,4
101609,4
101610,5
101611,7
101612,5
101613,4
101614,4
101615,4
101616,4
101617,4
101618,5
101619,4
101620,5
101621,4
101622,4
101623,4
101624,5
101625,4
101626,4
101627,4
101628,4
101629,5
101630,4
101631,5
101632,4
101633,4
101634,4
101635,4
101636,4
101637,4
101638,4
101639,4
101640,6
101641,5
101642,5
101643,4
101644,4
101645,4
101646,4
101647,4
101648,4
101649,6
101650,4
101651,4
101652,5
101653,5
101654,5
101655,5
101656,5
101657,5
101658,8
101659,4
101660,5
101661,6
101662,6
101663,5
101664,5
101665,5
101666,5
101667,6
101668,5
101669,5
101670,5
101671,6
101672,5
101673,5
101674,5
101675,6
101676,5
101677,6
101678,6
101679,5
101680,5
101681,6
101682,6
101683,5
101684,6
101685,7
101686,6
101687,6
101688,6
101689,6
101690,6
101691,7
101692,6
101693,5
101694,7
101695,8
101696,6
101697,6
101698,6
101699,6
101700,6
101701,7
101702,6
101703,6
101704,5
101705,5
101706,6
101707,5
101708,6
101709,6
101710,5
101711,7
101712,6
101713,5
101714,4
101715,4
101716,4
101717,4
101718,5
101719,4
101720,4
101721,4
101722,5
101723,4
101724,4
101725,5
101726,4
101727,5
101728,5
101729,6
101730,6
101731,5
101732,5
101733,4
101734,4
101735,4
101736,4
101737,5
101738,4
101739,4
101740,4
101741,5
101742,5
101743,6
101744,6
101745,5
101746,5
101747,5
101748,7
101749,6
101750,5
101751,5
101752,5
101753,5
101754,6
101755,8
101756,11
101757,10
101758,10
101759,11
101760,9
101761,10
101762,9
101763,9
101764,8
101765,8
101766,7
101767,8
101768,7
101769,8
101770,6
101771,7
101772,6
101773,6
101774,7
101775,8
101776,6
101777,6
101778,7
101779,6
101780,8
101781,7
101782,7
101783,7
101784,8
101785,8
101786,6
101787,6
101788,6
101789,7
101790,7
101791,6
101792,8
101793,5
101794,5
101795,5
101796,5
101797,5
101798,5
101799,5
101800,5
101801,5
101802,6
101803,5
101804,5
101805,6
101806,6
101807,5
101808,5
101809,4
101810,5
101811,6
101812,5
101813,5
101814,6
101815,5
101816,5
101817,6
101818,6
101819,5
101820,6
101821,6
101822,6
101823,4
101824,4
101825,4
101826,5
101827,6
101828,4
101829,4
101830,4
101831,4
101832,4
101833,5
101834,5
101835,3
101836,3
101837,3
101838,3
101839,3
101840,3
101841,3
101842,3
101843,3
101844,3
101845,3
101846,3
101847,3
101848,3
101849,3
101850,4
101851,3
101852,4
101853,4
101854,5
101855,5
101856,4
101857,4
101858,4
101859,4
101860,5
101861,5
101862,5
101863,5
101864,4
101865,4
101866,4
101867,4
101868,4
101869,4
101870,5
101871,4
101872,4
101873,4
101874,4
101875,4
101876,4
101877,4
101878,4
101879,4
101880,4
101881,4
101882,4
101883,4
101884,4
101885,4
101886,4
101887,4
101888,4
101889,4
101890,4
101891,4
101892,5
101893,4
101894,4
101895,4
101896,4
101897,4
101898,4
101899,4
101900,4
101901,4
101902,4
101903,4
101904,5
101905,4
101906,5
101907,5
101908,4
101909,4
101910,4
101911,4
101912,5
101913,5
101914,5
101915,5
101916,6
101917,7
101918,7
101919,9
101920,5
101921,5
101922,5
101923,5
101924,5
101925,4
101926,4
101927,4
101928,4
101929,4
101930,4
101931,4
101932,4
101933,4
101934,4
101935,4
101936,5
101937,4
101938,4
101939,5
101940,4
101941,4
101942,4
101943,5
101944,7
101945,4
101946,4
101947,4
101948,4
101949,6
101950,4
101951,4
101952,4
101953,4
101954,4
101955,5
101956,5
101957,5
101958,5
101959,5
101960,5
101961,5
101962,5
101963,7
101964,5
101965,5
101966,6
101967,5
101968,5
101969,6
101970,6
101971,6
101972,6
101973,7
101974,6
101975,5
101976,5
101977,5
101978,7
101979,5
101980,5
101981,5
101982,5
101983,5
101984,6
101985,7
101986,8
101987,9
101988,8
101989,6
101990,7
101991,6
101992,6
101993,6
101994,8
101995,6
101996,6
101997,8
101998,10
101999,8
102000,9
102001,8
102002,9
102003,8
102004,8
102005,7
102006,9
102007,9
102008,9
102009,7
102010,7
102011,7
102012,7
102013,7
102014,9
102015,9
102016,9
102017,7
102018,7
102019,8
102020,11
102021,8
102022,8
102023,8
102024,9
102025,7
102026,8
102027,7
102028,8
102029,9
102030,7
102031,8
102032,7
102033,8
102034,7
102035,7
102036,7
102037,7
102038,9
102039,11
102040,10
102041,9
102042,8
102043,11
102044,8
102045,8
102046,8
102047,7
102048,9
102049,7
102050,7
102051,9
102052,7
102053,8
102054,7
102055,6
102056,8
102057,11
102058,8
102059,8
102060,9
102061,11
102062,9
102063,7
102064,6
102065,6
102066,7
102067,6
102068,7
102069,9
102070,8
102071,8
102072,8
102073,7
102074,6
102075,6
102076,6
102077,10
102078,8
102079,9
102080,7
102081,8
102082,8
102083,6
102084,5
102085,6
102086,8
102087,8
102088,8
102089,7
102090,7
102091,8
102092,8
102093,8
102094,11
102095,8
102096,10
102097,8
102098,8
102099,9
102100,8
102101,8
102102,10
102103,9
102104,7
102105,7
102106,7
102107,7
102108,7
102109,9
102110,7
102111,10
102112,8
102113,8
102114,7
102115,7
102116,8
102117,8
102118,8
102119,8
102120,8
102121,8
102122,8
102123,9
102124,7
102125,6
102126,7
102127,7
102128,7
102129,7
102130,7
102131,9
102132,8
102133,8
102134,8
102135,9
102136,9
102137,7
102138,10
102139,8
102140,8
102141,8
102142,10
102143,9
102144,8
102145,8
102146,10
102147,10
102148,9
102149,9
102150,8
102151,8
102152,8
102153,7
102154,8
102155,9
102156,8
102157,7
102158,8
102159,7
102160,7
102161,8
102162,9
102163,8
102164,9
102165,9
102166,8
102167,7
102168,7
102169,8
102170,11
102171,11
102172,11
102173,10
102174,10
102175,11
102176,7
102177,8
102178,7
102179,6
102180,7
102181,7
102182,6
102183,6
102184,8
102185,7
102186,8
102187,8
102188,7
102189,6
102190,6
102191,6
102192,6
102193,6
102194,6
102195,6
102196,6
102197,6
102198,5
102199,5
102200,6
102201,7
102202,5
102203,6
102204,7
102205,8
102206,7
102207,7
102208,6
102209,5
102210,5
102211,5
102212,7
102213,6
102214,6
102215,5
102216,5
102217,5
102218,5
102219,6
102220,5
102221,5
102222,5
102223,5
102224,5
102225,5
102226,5
102227,5
102228,5
102229,4
102230,4
102231,4
102232,4
102233,4
102234,4
102235,4
102236,4
102237,6
102238,4
102239,5
102240,4
102241,4
102242,5
102243,4
102244,4
102245,4
102246,4
102247,4
102248,4
102249,4
102250,4
102251,4
102252,4
102253,4
102254,4
102255,4
102256,3
102257,3
102258,4
102259,4
102260,7
102261,5
102262,4
102263,4
102264,5
102265,4
102266,5
102267,4
102268,4
102269,4
102270,4
102271,4
102272,4
102273,4
102274,4
102275,4
102276,4
102277,4
102278,4
102279,4
102280,4
102281,5
102282,4
102283,4
102284,4
102285,4
102286,4
102287,4
102288,4
102289,4
102290,4
102291,4
102292,5
102293,4
102294,4
102295,4
102296,5
102297,4
102298,4
102299,4
102300,4
102301,5
102302,4
102303,6
102304,7
102305,5
102306,5
102307,6
102308,4
102309,5
102310,5
102311,5
102312,7
102313,6
102314,5
102315,5
102316,5
102317,5
102318,5
102319,5
102320,5
102321,5
102322,5
102323,6
102324,5
102325,5
102326,5
102327,5
102328,5
102329,5
102330,5
102331,5
102332,5
102333,5
102334,5
102335,6
102336,6
102337,5
102338,5
102339,5
102340,6
102341,6
102342,4
102343,4
102344,4
102345,4
102346,4
102347,4
102348,4
102349,4
102350,4
102351,4
102352,4
102353,6
102354,4
102355,6
102356,4
102357,4
102358,3
102359,3
102360,3
102361,3
102362,4
102363,5
102364,3
102365,3
102366,3
102367,3
102368,3
102369,3
102370,5
102371,3
102372,4
102373,3
102374,3
102375,4
102376,4
102377,4
102378,5
102379,4
102380,4
102381,4
102382,4
102383,4
102384,5
102385,4
102386,4
102387,5
102388,5
102389,4
102390,4
102391,4
102392,4
102393,4
